#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-01-12 00:00:08
#Fields: date time c-ip cs-username s-ip s-port cs-method cs-uri-stem cs-uri-query sc-status cs(User-Agent) 
2004-01-12 00:00:08 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/occcolor.class - 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Win32)
2004-01-12 00:00:12 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/ocwordw.class - 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Win32)
2004-01-12 00:00:19 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=878 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:00:23 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/menu_lateral.asp clicavel=true&cliente=assis&id=878&fundo= 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:00:26 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/menu_lateral.css - 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:01:38 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=222 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:02:08 200.210.233.250 - 200.155.63.7 80 GET /clientes/site/home/adm/default.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:37 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:37 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:37 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:38 201.0.79.46 - 200.155.63.7 80 GET /assis/enquete/enquete.asp - 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:38 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/busca1.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:38 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/ultimas.asp clicavel=true&cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:03:38 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:07 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=206 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:07 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/undefined - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:07 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:08 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/menu_lateral.asp clicavel=true&cliente=Assis&id=206 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:08 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/home/clientes/Assis/arquivos/Educacao.swf - 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:08 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/arquivos/Foto_Fachada.swf - 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:19 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/busca.asp clicavel=true&cliente=Assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:19 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/ultimas.asp clicavel=true&cliente=Assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:29 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/home/clientes/Assis/arquivos/Educacao.swf - 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
